stock_code,stock_name,industry_code,peer_stock_codes,peer_stock_names,business_tags,sector,industry,business_model,source
000020,동화약품,261,207940|068270|0126Z0|326030|000100|141080,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|유한양행|리가켐바이오,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000040,KR모터스,273,005380|000270|003620|381970|001390|151860,현대차|기아|KG모빌리티|케이카|KG케미칼|KG에코솔루션,automotive|software platform|chemicals,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
000050,경방,274,111770|383220|081660|009970|093050|007700,영원무역|F&F|미스토홀딩스|영원무역홀딩스|LF|F&F홀딩스,holding company,Financials,Investment Holding Companies,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000070,삼양홀딩스,272,051910|003670|086520|011790|010060|014680,LG화학|포스코퓨처엠|에코프로|SKC|OCI홀딩스|한솔케미칼,chemicals|holding company,Materials,Specialty Chemicals,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000080,하이트진로,309,005300|033920|000140|018120|004650|043650,롯데칠성|무학|하이트진로홀딩스|진로발효|창해에탄올|국순당,food and beverage|holding company,Consumer Staples,Food and Beverage,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000100,유한양행,261,207940|068270|0126Z0|326030|141080|000250,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|리가켐바이오|삼천당제약,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000120,CJ대한통운,326,086280|002320|004360|000700|009070|004140,현대글로비스|한진|세방|유수홀딩스|KCTC|동방,logistics|holding company,Industrials,Logistics and Transportation,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000140,하이트진로홀딩스,309,000080|005300|033920|018120|004650|043650,하이트진로|롯데칠성|무학|진로발효|창해에탄올|국순당,food and beverage|holding company,Consumer Staples,Food and Beverage,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000150,두산,276,028260|003550|000880|001040|004800|005440,삼성물산|LG|한화|CJ|효성|현대지에프홀딩스,industrial machinery|holding company,Industrials,Machinery and Industrial Equipment,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000180,성창기업지주,318,078130|034810|213500|027970|009580|001020,국일제지|해성산업|한솔제지|한국제지|무림P&P|페이퍼코리아,industrial machinery|holding company|materials,Industrials,Machinery and Industrial Equipment,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
0001A0,덕양에너젠,313,034730|096770|010950|078930|006120|128820,SK|SK이노베이션|S-Oil|GS|SK디스커버리|대성산업,energy|industrial machinery,Energy,Energy Infrastructure,Industrial machinery and equipment manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
000210,DL,272,051910|003670|086520|011790|010060|014680,LG화학|포스코퓨처엠|에코프로|SKC|OCI홀딩스|한솔케미칼,chemicals|holding company,Materials,Specialty Chemicals,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000220,유유제약,261,207940|068270|0126Z0|326030|000100|141080,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|유한양행|리가켐바이오,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000230,일동홀딩스,261,207940|068270|0126Z0|326030|000100|141080,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|유한양행|리가켐바이오,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000240,한국앤컴퍼니,270,012330|161390|018880|005850|204320|007340,현대모비스|한국타이어앤테크놀로지|한온시스템|에스엘|HL만도|DN오토모티브,automotive|software platform,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
000250,삼천당제약,261,207940|068270|0126Z0|326030|000100|141080,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|유한양행|리가켐바이오,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000270,기아,273,005380|003620|381970|001390|151860|900140,현대차|KG모빌리티|케이카|KG케미칼|KG에코솔루션|엘브이엠씨홀딩스,automotive|software platform|chemicals|holding company,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
000300,DH오토넥스,270,012330|161390|018880|005850|204320|000240,현대모비스|한국타이어앤테크놀로지|한온시스템|에스엘|HL만도|한국앤컴퍼니,automotive|software platform,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
000320,노루홀딩스,289,002380|300720|038500|003300|344820|002030,KCC|한일시멘트|삼표시멘트|한일홀딩스|KCC글라스|아세아,materials|holding company,Materials,Metals and Materials,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000370,한화손해보험,315,000810|005830|001450|031210|003690|000400,삼성화재|DB손해보험|현대해상|서울보증보험|코리안리|롯데손해보험,insurance,Financials,Insurance,Insurance underwriting and financial services,NAVER_STOCK_INDUSTRY_COMPARE
000390,SP삼화,289,002380|300720|038500|003300|344820|002030,KCC|한일시멘트|삼표시멘트|한일홀딩스|KCC글라스|아세아,materials|holding company,Materials,Metals and Materials,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000400,롯데손해보험,315,000810|005830|001450|031210|003690|000370,삼성화재|DB손해보험|현대해상|서울보증보험|코리안리|한화손해보험,insurance,Financials,Insurance,Insurance underwriting and financial services,NAVER_STOCK_INDUSTRY_COMPARE
000430,대원강업,270,012330|161390|018880|005850|204320|000240,현대모비스|한국타이어앤테크놀로지|한온시스템|에스엘|HL만도|한국앤컴퍼니,automotive|software platform,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
000440,중앙에너비스,313,034730|096770|010950|078930|006120|0001A0,SK|SK이노베이션|S-Oil|GS|SK디스커버리|덕양에너젠,energy,Energy,Energy Infrastructure,Operating company,NAVER_STOCK_INDUSTRY_COMPARE
000480,시알홀딩스,322,010130|103140|295310|006110|005810|058430,고려아연|풍산|에이치브이엠|삼아알미늄|풍산홀딩스|포스코스틸리온,materials|holding company,Materials,Metals and Materials,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000490,대동,299,034020|277810|241560|454910|267270|108490,두산에너빌리티|레인보우로보틱스|두산밥캣|두산로보틱스|HD건설기계|로보티즈,construction|industrial machinery,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",NAVER_STOCK_INDUSTRY_COMPARE
0004V0,엔비알모션,299,034020|277810|241560|454910|267270|108490,두산에너빌리티|레인보우로보틱스|두산밥캣|두산로보틱스|HD건설기계|로보티즈,automotive|construction|industrial machinery,Consumer Discretionary,Automobiles,"Construction, engineering, and infrastructure projects",NAVER_STOCK_INDUSTRY_COMPARE
0004Y0,디비금융제14호스팩,277,100790|027360|041190|026890|241520|293580,미래에셋벤처투자|아주IB투자|우리기술투자|스틱인베스트먼트|DSC인베스트먼트|나우IB,financials|holding company,Financials,Financial Services,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000500,가온전선,306,010120|267260|298040|006260|062040|001440,LS ELECTRIC|HD현대일렉트릭|효성중공업|LS|산일전기|대한전선,electrical equipment|industrial machinery,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
000520,삼일제약,261,207940|068270|0126Z0|326030|000100|141080,삼성바이오로직스|셀트리온|삼성에피스홀딩스|SK바이오팜|유한양행|리가켐바이오,biotech|holding company,Health Care,Biotechnology,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
000540,흥국화재,315,000810|005830|001450|031210|003690|000370,삼성화재|DB손해보험|현대해상|서울보증보험|코리안리|한화손해보험,insurance,Financials,Insurance,Insurance underwriting and financial services,NAVER_STOCK_INDUSTRY_COMPARE
