stock_code,stock_name,stock_name_en,market,source_sector,source_industry,source_business_model,primary_peer_ticker,primary_peer_name,primary_peer_sector,primary_peer_industry,primary_peer_business_model,primary_peer_scale_bucket,similarity_score,confidence_score,confidence_level,financial_similarity_score,domain_match_level,financial_context,same_company_noise,matched_factors,headline,model_version,source
000010,신한은행,신한은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7545,0.7545,HIGH,0.6915,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6915. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7545.",신한은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000020,동화약품,동화약품,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,SEM,Select Medical Holdings,Health Care,Biotechnology,Investment holding and portfolio management,MID_CAP,0.6819,0.6819,MEDIUM,0.9959,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 41.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6819.",동화약품 Is South Korea's 'Select Medical Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000030,우리은행,우리은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7545,0.7545,HIGH,0.6916,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6916. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7545.",우리은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000040,KR모터스,KR모터스,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,F,Ford Motor,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,LARGE_CAP,0.587,0.587,MEDIUM,0.9997,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=MICRO_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 5.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5870.",KR모터스 Is South Korea's 'Ford Motor' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000050,경방,경방,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,BXC,Bluelinx Holdings,Financials,Investment Holding Companies,Investment holding and portfolio management,SMALL_CAP,0.7302,0.7302,HIGH,0.9995,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 62.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7302.",경방 Is South Korea's 'Bluelinx Holdings' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000060,메리츠화재해상보험,메리츠화재해상보험,KOSPI,Financials,Insurance,Insurance underwriting and financial services,NP,Neptune Insurance Holdings . Class A,Financials,Insurance,Insurance underwriting and financial services,MID_CAP,0.7355,0.7355,HIGH,0.9085,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Insurance. | Business model: both are mapped to Insurance underwriting and financial services. | Scale: source=UNKNOWN, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (UNKNOWN vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 30.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7355.",메리츠화재해상보험 Is South Korea's 'Neptune Insurance Holdings . Class A' — A Insurance Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000070,삼양홀딩스,삼양홀딩스,KOSPI,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,EMN,Eastman Chemical,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,MID_CAP,0.6992,0.6992,MEDIUM,0.775,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Specialty Chemicals. | Business model: both are mapped to Chemical and advanced materials manufacturing. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.7750. | US peer-universe position: MID_CAP peer, around the top 21.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6992.",삼양홀딩스 Is South Korea's 'Eastman Chemical' — A Chemicals Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000080,하이트진로,하이트진로,KOSPI,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",FIZZ,National Beverage,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",MID_CAP,0.8546,0.8546,HIGH,0.9996,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Staples. | Industry: both are mapped to Food and Beverage. | Business model: both are mapped to Packaged food, beverage, and consumer staples. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 35.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8546.",하이트진로 Is South Korea's 'National Beverage' — A Food And Beverage Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000100,유한양행,유한양행,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,ZBH,Zimmer Biomet Holdings,Health Care,Biotechnology,Investment holding and portfolio management,LARGE_CAP,0.7533,0.7533,HIGH,0.9998,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MID_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MID_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 12.9% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7533.",유한양행 Is South Korea's 'Zimmer Biomet Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000110,한국스탠다드차타드은행,한국스탠다드차타드은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7539,0.7539,HIGH,0.6885,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6885. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7539.",한국스탠다드차타드은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
000120,CJ대한통운,CJ대한통운,KOSPI,Industrials,Logistics and Transportation,Investment holding and portfolio management,KNX,Knight-Swift Transportation Holdings,Industrials,Logistics and Transportation,Investment holding and portfolio management,LARGE_CAP,0.7808,0.7808,HIGH,0.9991,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Logistics and Transportation. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=SMALL_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 16.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7808.",CJ대한통운 Is South Korea's 'Knight-Swift Transportation Holdings' — A Logistics Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
